method,file,input_bytes,tokens,elapsed_ms,throughput_mb_s,success
baseline_dfa,small.sy,1073,248,487.393856048584,0.0020995187542985835,True
regex_derivative,small.sy,1073,247,460.0050449371338,0.0022245246063415536,True
baseline_dfa,medium.sy,53393,10968,42.693376541137695,1.1926799166801625,True
regex_derivative,medium.sy,53393,10967,454.90264892578125,0.1119350104821803,True
baseline_dfa,large.sy,1091152,212883,247.21026420593262,4.209386859553948,True
regex_derivative,large.sy,1091152,212882,8670.56679725647,0.12001564165615783,True
baseline_dfa,comments_heavy.sy,219560,20001,45.35245895385742,4.616921281450095,True
regex_derivative,comments_heavy.sy,219560,64000,2188.504219055176,0.0956766411903715,True
baseline_dfa,identifiers_heavy.sy,346682,60001,95.51596641540527,3.461428824605677,True
regex_derivative,identifiers_heavy.sy,346682,60000,1945.9335803985596,0.16990390766196384,True
baseline_dfa,malformed_mixed.sy,54,7,25.868892669677734,0.0019907467143462794,False
regex_derivative,malformed_mixed.sy,54,0,28.746604919433594,0.0017914607039777064,False
