seed,cases,total_pass,total_fail,property,pass_count,fail_count
42,1000,10000,0,CommentsInvisible,1000,0
42,1000,10000,0,DiagnosticsHaveLocation,1000,0
42,1000,10000,0,ErrorLocality,1000,0
42,1000,10000,0,KeywordPriority,1000,0
42,1000,10000,0,LongestMatchOperators,1000,0
42,1000,10000,0,NoInfiniteLoop,1000,0
42,1000,10000,0,NoParserDependency,1000,0
42,1000,10000,0,RoundTripTokenTypeStability,1000,0
42,1000,10000,0,StableUnderWhitespaceInsertion,1000,0
42,1000,10000,0,TokenOffsetsMonotonic,1000,0
